model,dimension,n_images,llm_image_mean,human_image_mean,mean_diff,paired_t,paired_p,paired_cohens_d,pearson_r,n_trials,welch_t,welch_p,welch_cohens_d
claude-sonnet-4.6,valence,40,4.25375,4.257308721068185,-0.0035587210681854884,-0.031520812433536896,0.9750149584976603,-0.004983878049446571,0.9550773756081461,800,-0.017670269929270548,0.98597560556783,-0.002041400234693227
gemma-4-31b-it,valence,40,4.19,4.257308721068185,-0.0673087210681855,-0.5520448352100369,0.5840675174288229,-0.08728595248980169,0.9497691083228768,800,-0.3333400841891695,0.7403234422439211,-0.037621679872980415
gpt-5.4,valence,40,3.9887500000000005,4.257308721068185,-0.26855872106818546,-2.132792675545735,0.03929176399759207,-0.3372241315824512,0.9394407706209419,800,-1.3298132602919905,0.1898356156918116,-0.1498915971768364
qwen3.6-plus,valence,39,4.2384615384615385,4.237078270421311,0.0013832680402277146,0.012626534950923578,0.9899918102155582,0.002021863730646799,0.9353662770907147,780,-0.09382831561967615,0.925642678160799,-0.01125243346891954
grok-4.20,valence,40,4.45125,4.257308721068185,0.1939412789318145,1.279460957074126,0.20829453438400805,0.20230054008065815,0.9270709013998137,800,0.9519489558551291,0.34570815529473065,0.10001095774163256
claude-sonnet-4.6,arousal,40,4.38875,3.7951106467069406,0.5936393532930591,3.446293496424749,0.0013750539325615748,0.5449068467063779,0.8321110818077928,800,4.331386019389737,5.984679450636998e-05,0.36872181962201983
gemma-4-31b-it,arousal,40,3.8525,3.7951106467069406,0.05738935329305901,0.2736213522592644,0.7858195527703913,0.043263334479726724,0.8177536579357645,800,0.40677044144434343,0.6855193125897402,0.03091045849981563
gpt-5.4,arousal,40,4.202500000000001,3.7951106467069406,0.40738935329305903,2.0742862086389344,0.04470014580033888,0.32797344691871344,0.8300086551909094,800,2.916495399421207,0.004918030981273341,0.22964424262501407
qwen3.6-plus,arousal,39,3.8346153846153843,3.7597781780820685,0.07483720653331494,0.33398622481947715,0.7402261764563398,0.05348059757667365,0.7622904850067351,780,0.2781198655228776,0.7817842900813569,0.02093874151736916
grok-4.20,arousal,40,4.4425,3.7951106467069406,0.647389353293059,3.1444345310643897,0.0031780926234020617,0.4971787535723476,0.7657610732866507,800,4.627578436483711,1.912463185015063e-05,0.3623196798350344
