image_id,human_valence_mean,Category,human_arousal_mean
Animal carcass 2,3.25490196078431,Animal,4.02970297029703
Bark 5,4.1980198019802,Object,2.05825242718447
Bear 1,5.14814814814815,Animal,3.33653846153846
Bloody knife 1,1.84313725490196,Object,4.54455445544554
Camping 3,5.01851851851852,Person,2.98076923076923
Car crash 1,1.85294117647059,Scene,4.55445544554455
Cat 1,5.42156862745098,Animal,3.84158415841584
Chipmunk 1,5.41176470588235,Animal,3.27722772277228
Cold 1,3.99009900990099,Object,3.47572815533981
Crow 1,4.70588235294118,Animal,2.8019801980198
Dog attack 3,2.64705882352941,Animal,5.08910891089109
Eating 3,5.14814814814815,Person,2.625
Flowers 6,5.94444444444444,Object,3.00961538461538
Galaxy 2,5.77227722772277,Scene,4.4368932038835
Gazing 5,5.44444444444444,Person,3.30769230769231
Gun 1,2.73267326732673,Object,4.01941747572816
Hangover 1,2.41584158415842,Person,3.3495145631068
Jail 4,2.11111111111111,Scene,3.43269230769231
Lightning 2,4.25742574257426,Scene,4.62135922330097
Lion 1,5.01980198019802,Animal,4.33980582524272
Monkey 2,4.02941176470588,Animal,3.72277227722772
Neutral pose 2,5.25490196078431,Scene,3.66336633663366
Nude couple 3,5.45098039215686,Person,4.5049504950495
Nude man 9,3.39814814814815,Person,3.5
Nude woman 10,5.0462962962963,Person,5.17307692307692
Ornament 1,5.24509803921569,Object,2.88118811881188
Parachuting 4,4.80392156862745,Person,5.20792079207921
Parasailing 2,5.12871287128713,Person,4.3495145631068
Plane crash 3,2.23529411764706,Scene,4.12871287128713
Police 5,2.43137254901961,Person,4.03960396039604
Sailing 3,5.45098039215686,Scene,3.62376237623762
Satellite 1,5.06862745098039,Object,3.83168316831683
Shark 1,3.75925925925926,Animal,4.11538461538461
Skijump 1,4.5,Scene,3.99009900990099
Snow 2,4.54901960784314,Scene,2.25742574257426
Soldiers 4,4.66666666666667,Scene,4.28712871287129
Sun 1,4.41584158415842,Object,4.50485436893204
Toilet 1,3.80392156862745,Object,2.35643564356436
Wedding 8,5.62745098039216,Object,3.86138613861386
Wolf 2,3.08823529411765,Animal,4.67326732673267
